,age,ed,income,debtinc,creddebt,othdebt,spoused,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,carvalue,commutetime,tenure,longmon,longten,tollmon,tollten,equipmon,equipten,cardmon,cardten,wiremon,wireten,hourstv,region_2,region_3,region_4,region_5,townsize_2.0,townsize_3.0,townsize_4.0,townsize_5.0,gender_1,empcat_2,empcat_3,empcat_4,empcat_5,inccat_2,inccat_3,inccat_4,inccat_5,jobsat_2,jobsat_3,jobsat_4,jobsat_5,hometype_2,hometype_3,hometype_4,addresscat_2,addresscat_3,addresscat_4,addresscat_5,cars_1,cars_2,cars_3,cars_4,cars_5,cars_6,carown_0,carown_1,cartype_0,cartype_1,carcatvalue_1,carcatvalue_2,carcatvalue_3,carbought_0,carbought_1,commutecat_2,commutecat_3,commutecat_4,commutecat_5,reason_2,reason_3,reason_4,reason_9,polview_2,polview_3,polview_4,polview_5,polview_6,polview_7,card_2,card_3,card_4,card_5,cardtype_2,cardtype_3,cardtype_4,cardbenefit_2,cardbenefit_3,cardbenefit_4,cardtenurecat_2,cardtenurecat_3,cardtenurecat_4,cardtenurecat_5,card2_2,card2_3,card2_4,card2_5,card2type_2,card2type_3,card2type_4,card2benefit_2,card2benefit_3,card2benefit_4,card2tenurecat_2,card2tenurecat_3,card2tenurecat_4,card2tenurecat_5,bfast_2,bfast_3,internet_1,internet_2,internet_3,internet_4,ln_total_spent
age,1.0,-0.0939655681358492,0.20828641574685286,0.03903086445689694,0.14240062973632459,0.15451363452171066,-0.002796456083634339,-0.33833833739785285,0.02633411858911709,0.015743082639099376,0.013091438924110816,-0.013372999592973231,0.009332056365966323,0.0023259958549447426,-0.0032642047076485263,0.02350034471136185,0.1757596942480202,-0.05631347480920274,0.6120137497145587,0.46866007996731823,0.49963329456782196,0.10688663274412179,0.26332843584054133,-0.10421186967228988,0.0915525392160985,0.2947741512046718,0.4632267567088965,-0.025350135007038168,0.10872173516238554,-0.027318133982960142,0.001396322523248512,0.008553921774221627,-0.029300167819883552,-0.006444101288325908,0.006890591236466102,-0.013997724673534634,-0.04363470233242947,-0.03546928057712229,-0.010185912956126955,-0.16920533973102045,0.06461522113432754,0.21384648998354194,0.5234618925854536,-0.16106428411343449,0.0642033445897632,0.11544761597043807,0.15852587161241974,-0.09563285800475908,0.0486391009551427,0.15197780641591505,0.25458626219868014,0.009747420707784657,-0.03950162827654409,0.007334158038466856,-0.374103271238638,-0.09982879135756488,0.2349279418648684,0.6069103108794646,0.018967788620364318,-0.007836411217399657,-0.0056498992378837135,-0.0016152286914085546,0.016826350257590317,-0.021766532792089184,0.15391574241235037,-0.12529557888290152,-0.007490919643770125,0.010519600697349495,-0.16064870295659825,0.032284462720189595,0.18136722390194315,-0.0041341198438387,0.007573889539224339,0.019033935021197535,0.01020045821891568,-0.0220965419463843,0.022029398332269027,0.01774418656148824,0.016491469210631642,0.00010299368344349886,-0.021011663603072925,-0.0007139611935551873,-0.009944731399306184,-0.00478639875126841,-0.0007893663617532887,0.018141077479212637,0.027512664843623733,-0.0016629674616944012,0.010918407502640842,0.02327136434140859,-0.03460925259048858,-0.0028081607852384356,-0.00192465257858238,-0.0008881029840237898,0.001528130866156493,-0.0020306904101020026,0.008344150814291061,-0.37994131839551265,-0.20372390904730364,-0.055370146484185395,0.6330913994680353,0.0008387650209340085,-0.02577199003362882,0.008067361398669249,0.004315206930198717,-0.007376129438777308,0.004250492390662513,0.032009174686143525,-0.0025745743030648623,0.000877577571273321,-0.012493298431375071,-0.3758284443733321,-0.14855668076610934,0.03660423078923753,0.5831457598934224,0.5712405255729134,-0.178582900026521,-0.019940901519949067,-0.048071540622980115,-0.04905873951431409,-0.07648078335274171,0.002317745917311954
ed,-0.0939655681358492,1.0,0.18680166481220548,0.013870837611424179,0.12236187768587059,0.13586857849360015,0.11392817406194948,0.022048089229776056,0.031113374153756475,0.008897703478885136,0.026018088445766478,0.009811612226273005,-0.002268256284104306,0.012165031440490926,-0.00543331642838303,0.020687961368145127,0.15766367871127987,-0.008465310424580007,-0.09507700575062518,-0.09737708401682497,-0.1038417476739205,0.01866163520912674,-0.013008312611786399,0.448759482280476,0.34385390208067235,-0.03990923145042959,-0.08015318416019321,0.34647571312466124,0.2649672237016721,-0.009821372978810304,0.0016255509500653089,0.000179828497036165,0.023014993590273154,-0.005175198341679718,-0.0032313726775557517,-0.018183172378387413,0.020725874102574142,-0.0031355078967744044,-0.0007767204531758279,0.05866746406315789,-0.01105104490117817,-0.03262797325838977,-0.16134751011043574,-0.027630938954348802,0.06345680607165159,0.08075587982392463,0.11653310629169122,0.03399026969823954,-0.016829147144044855,-0.022981180815152873,-0.0534647953454727,-0.04275208296368968,0.03512731506665406,0.014132418288184229,0.060107971764072836,0.05822841969534981,-0.01233149004670907,-0.05977157949449708,-0.0010300688673154789,0.002571791951441387,0.003771293648921918,-0.030493102450920438,0.006498977197989072,0.037600088150603055,-0.07471527426752596,0.06029057355271486,-0.021741364058642243,0.01987468018622851,-0.14205980128662532,0.05665709793872157,0.12152785289531585,-0.0033402655606037668,0.0014794680906938624,0.00876000714319295,-0.010074909251013783,0.02043476679304369,-0.0008103673293467969,-0.005516792877700295,0.011609998369211746,-0.012106675299309876,0.003918724497800259,0.03790895380153667,0.02577999224958329,0.03550395788442935,-0.028823716623871187,-0.06174566783297618,-0.06443074783103596,-0.12070382904867749,-0.11569861177859146,0.18778338494789673,-0.1489246294910189,-0.014758901634889262,0.020325180663308007,-0.023115404126865167,0.023496104048455924,-0.022552539152290076,-0.005591462118437217,0.03734042889532642,0.05763725557874712,0.051442518237157134,-0.08656533514700407,-0.03346263785148209,-0.032975083057693956,0.07482587123862,-0.15545947949010255,-0.01646139615038526,0.016628157583469142,-0.024467634882530426,0.0003239191710598755,-0.026933145108263425,0.007718951062152812,0.054586372166330006,0.06274227006027382,0.028935391315421534,-0.09477901645234565,-0.07394327937188754,0.04416625768112583,0.0668149426024174,0.15368303927053328,0.18507477253458118,0.28895824345192805,0.09701183793039526
income,0.20828641574685286,0.18680166481220548,1.0,0.011585930898614986,0.6275776037551266,0.6962266982454995,0.03549061260581422,-0.07338113015267204,0.008424494193365172,0.0006564483865279184,0.02283098636064982,0.0018404690778236045,-0.0019560303910207896,-0.008239008219417636,-0.011377029740317736,0.005421256970860075,0.8368401796799438,-0.022761096621022776,0.23700293240505912,0.19364870828845118,0.19917825457937038,0.23970507511535324,0.2857818993359709,0.1120478405460408,0.16440493796174277,0.16496886710135972,0.19701194267089295,0.21510101903281273,0.2530342240997137,0.05509969996652242,-0.02310561621869318,0.026175183299435967,0.009580736170976028,0.017906622254428857,0.01327521281582113,-0.009064569051311361,-0.00480684373612254,-0.0047679189201465105,-0.0019485331920074584,-0.12156032877303508,-0.020825188651297823,0.10373142169157709,0.3032821897922084,-0.29333806085841646,0.06915502554042838,0.3344025215379875,0.7880556434831143,-0.07316333948053891,-0.0007224511787886316,0.058146235571018744,0.2099946161375858,-0.13544612127686834,0.008127180568250326,-0.04322915298920888,-0.15508614467961598,-0.009648932152711941,0.1703476412720128,0.15743305484529785,-0.03207852396690344,0.006179926016011986,0.012115847235025269,0.018471436818644344,0.015968841013952562,0.021326293324442594,-0.2503308678611153,0.22126663117721418,-0.051596722455944675,0.06227565571787402,-0.5824575274236212,0.05058929785693934,0.7345152197504052,-0.06677202137303644,0.0818323108478523,0.008443943056525939,-0.03350592398427114,-0.016426605525328354,0.004579902712529179,0.011473098800496765,0.000570312085650264,0.0075151431538786895,-0.0003283455662877119,-0.03400136520462967,-0.024456231763581,-0.028986357469842204,0.0249809874645251,0.056411636274644024,0.047600356695879274,-0.10133324163965202,-0.06111567476088909,0.14554668532923332,-0.08384482964053235,-0.018500721517907853,-0.0006206401796982587,0.0042586940513820795,0.02630956547922948,-0.006242772472905831,-0.020863450903570276,-0.16527547236293455,-0.07803337621232427,0.01390033253766561,0.24206878495052503,-0.0009625410811007184,-0.042851661574460465,0.03487402625013457,-0.08455323673792714,-0.020525543133065823,0.011816163551394686,-0.0006404308778277668,0.011114721825334822,-0.017461754891305324,-0.002049387127372124,-0.1523925972482298,-0.04409665430136353,0.027293673794158233,0.22031642347147926,0.06940892902315544,0.035986914430439776,0.026914856663416795,-0.012049525918640978,0.02994746603289801,0.05697569565662901,0.35281679193773374
debtinc,0.03903086445689694,0.013870837611424179,0.011585930898614986,1.0,0.462598112387306,0.5269636450546484,-0.040150139331714,-0.026232829560898504,-0.0025311807198159083,0.0010278669467293062,-0.0032782892392188736,-0.011249753599629216,0.016423133638777756,0.009945235716776224,0.017582236196683344,-0.005829190714271471,0.014134290533983329,0.0007218972357858527,0.018607212159000432,0.012265641205732971,0.014389662265927968,-0.008189192866318962,0.005262020557587284,-0.001188450010972749,0.011433448409846931,0.012167179006994305,0.015835685170789354,-4.1161946421042374e-05,0.00898164917786811,-0.011576576619904145,-0.005462012669615778,0.00857364976271381,0.021400753899317,-0.024550429393721054,0.0010236942698065537,-0.025455974172381032,-0.024481400449587968,0.013139742286187204,0.004745840260109728,0.002531109060330322,-0.006883162926388805,0.01211034180588921,0.021793201397905918,0.015736660292409724,-0.006418505328617847,0.017620915902855826,-0.005490574299985052,-0.015996750840076828,0.013603428144817836,-0.010540112391479391,0.024329537019074768,0.008001751810976341,0.008618791112178741,0.018271853749804556,-0.040166659047329585,0.004696302444192393,0.026560169826072972,0.016615558802352548,-0.002998624353624076,-0.019294898767801084,0.011480283684596285,0.030528961778214226,-0.0022434736453683162,-0.0020794715226862353,-0.002438448157537941,0.00799321451554986,-0.012272820614126467,0.017560056670043345,-0.009510876790352394,0.005946357736990244,0.012788151907220102,0.013235672531449052,-0.008407202087889837,-0.003096176193783573,-0.031023408031869086,-0.0001984215589405967,0.006538171167146255,0.006081930312987128,-0.021554409063826243,0.0027528924894952888,0.013749646682788297,-0.02755638807071482,0.02152297095944132,-0.011028122911678836,0.0052786082510182354,0.006761563376297997,0.0013274401436963003,-0.020198354933320773,-0.0046704236428114256,0.011234480135849942,0.006403953342773139,0.0034627634888504985,-0.006533648893831078,0.006193378754218077,-0.0012632252095168097,0.003552893341171632,0.004118468339778116,-0.0030891758481961787,-0.02532880251549371,0.0200577935484184,0.01572423679780166,0.009365902347578616,0.0053902779287930665,-0.007148048744579362,-0.015181384774573514,0.0284415867961183,-0.011793139026666883,-0.008349676083310205,0.007621265289317143,-0.011456261550171336,-0.012985223810079306,-0.00161399896772138,-0.01993651546509229,-0.0005026346581744696,0.030573389241540766,0.01179479162627094,-0.014885270559292283,0.013924471631027642,-0.01707956097091905,-0.004882891588346009,0.0020578011287225124,0.017169728985492832
creddebt,0.14240062973632459,0.12236187768587059,0.6275776037551266,0.462598112387306,1.0,0.6404106073677207,0.0022258580634800617,-0.05160695090030756,-0.009921779954303312,-0.005701664710029948,0.010320322237162756,-0.004892824526614935,0.005487379732844625,-0.002965956245536665,0.00654919519764475,-0.012296483607986611,0.5203464738760357,-0.013468219690934105,0.14970600006294812,0.12408035738509765,0.12848464896598036,0.13483176870646107,0.17079212605000632,0.06093081211350858,0.10335994151047516,0.1036004988906628,0.12133817938511404,0.11288936070840377,0.14252410415364036,0.03277019798632632,-0.009498949084569571,0.00444549384958166,0.01534512409984267,-0.004433191911457058,0.0156225709704489,-0.015848186733399442,-0.021482401146097514,-0.018017900738093343,-0.006573839062527256,-0.08740753234808417,-0.0011760188274924593,0.08502812775444488,0.18491229902476147,-0.1751788188538959,0.05321708137461285,0.2078482156384346,0.48505598422721824,-0.062251090292566605,-0.001342180193965752,0.033769674919852936,0.16014697555386603,-0.08089510600077235,0.012631164823160509,-0.02091950925017244,-0.11324152965110755,-0.007943859824751445,0.12846425906092304,0.09288125722022803,-0.02562177200499544,-0.004806034700693667,0.019864609242462715,0.021500254406650404,0.006810719653706813,0.018047252022719118,-0.15765356465556335,0.14150778979434397,-0.021165729907510134,0.02976262272584625,-0.3699960185311037,0.04310937022184269,0.45626017661002105,-0.04110136618526874,0.052558071272311546,0.028342339300344115,-0.04359082076768081,-0.028674208879472456,0.003964767628459111,0.0031574072689715387,-0.011857725836460735,0.01143094160308692,0.013447667963426871,-0.0382417124493641,-0.0036792812885222464,-0.013736655033398161,0.0016647849658619495,0.0449943669261216,0.029479763611801758,-0.07035978150192902,-0.024411009714010213,0.08813594887290785,-0.05195326777969785,-0.016948444370901528,0.008618035566426095,0.01351926752734413,0.01725653365886827,-0.020956161314053746,-0.0014702685629916234,-0.1028038546811954,-0.06870236307158736,0.014020043787431198,0.15856426174448546,0.005038408303774678,-0.02578281088268354,0.02319981314314571,-0.060764854477248526,0.018316963519217463,-0.009633180240674522,-0.013964311270387246,0.0011291850647170893,-0.006512648269572509,-0.003258031590305005,-0.09755772028066133,-0.048379493934102916,0.02536252209239272,0.14687866240063638,0.04809741652924433,0.013023583593078319,0.01729698447365665,-0.009413316146538432,0.004650011754762526,0.03703674156223237,0.23249903365095295
othdebt,0.15451363452171066,0.13586857849360015,0.6962266982454995,0.5269636450546484,0.6404106073677207,1.0,0.01685445492509927,-0.05456536816892128,0.011681314288840061,0.008950418795061406,0.008594653356679268,-0.003970135163521202,0.006149984953542399,-0.003380603057901056,0.003894496928382948,0.00774024593252428,0.6001019373552431,-0.013577393212257295,0.1816244596832238,0.14145056125497218,0.1474894429570996,0.16821375782178327,0.2059178315164413,0.08095604061900548,0.12505712692710833,0.12268362780398964,0.14705504970260747,0.162845068050018,0.1943146364113744,0.035489707674795805,-0.028773130878097214,0.018455341545805446,0.027622685824629765,0.0059387872791423334,0.01219300833912672,-0.011438500036201981,-0.02274973379566744,0.0061012899954291065,-0.008475462457219488,-0.07780253987904659,-0.02458542871955855,0.08321207945863268,0.21875548016603918,-0.20484106544960579,0.04332585177071144,0.28007642661289406,0.5208600133328277,-0.05864854892359821,0.0060220781314731945,0.040055758533518754,0.15321620275426714,-0.09846323915870607,0.014700372979463415,-0.021796969327667122,-0.12039800773368901,-0.00326599874525677,0.1274489237010315,0.11619114127294582,-0.028579936098374798,-0.005599176223990615,0.017337847632775148,0.03947478265334113,0.011853513425330954,0.01317177418892697,-0.18061662432745607,0.1692777880184446,-0.04550935016191639,0.06173380003091087,-0.41714077264517885,0.042820552044854375,0.5297424019748341,-0.03660645692339071,0.055850185760884456,0.008423682230459906,-0.058668945445282956,-0.017570125771878983,0.004027594212507339,0.011296885427226924,-0.011231555813127705,0.007917130576366806,0.0029285449676290944,-0.031990891703126106,-0.0022013045677825643,-0.034370810733380205,0.026686361840942203,0.042554881735777775,0.024901888712912268,-0.06577476855645478,-0.045966077775856665,0.09584457781268872,-0.05674684626808276,-0.0006112696653979522,-0.008768995319895211,-0.00523124386607935,0.010570880164651684,0.003847741062910089,-0.008819454471749285,-0.12114190500696713,-0.05613513295569448,0.005018306113155179,0.1808159152917471,0.00972086983996468,-0.027771791348390897,0.016889450898221702,-0.06528208397706838,0.008124904053145842,-0.003672782666513676,0.004893554981771484,0.015343454395310036,-0.00801178396323439,-0.015796865514727622,-0.10988271188832514,-0.04802621565260837,0.02325591390666541,0.17345109684818308,0.04862143420550848,0.014717399307321763,0.037497358093288545,-0.013542479160761305,0.017066195192828995,0.03709551038608948,0.25825301024368497
spoused,-0.002796456083634339,0.11392817406194948,0.03549061260581422,-0.040150139331714,0.0022258580634800617,0.01685445492509927,1.0,0.6108469563915697,-0.0014437443025908502,-0.0010385842852169889,-0.007993912689456161,-0.020615972652865612,0.002007676097216348,0.0024145268317161154,0.005710910225927063,0.00391011989462846,0.031112125556737175,-0.002317723161018539,0.15524534175535873,0.12809802004493154,0.12818584492620164,0.06472026047944068,0.08933903286656011,0.06542215734513175,0.10897200522347482,0.08445339195509503,0.11157713794182578,0.07296551751994212,0.09940479651366252,0.028678388218169516,-0.023973779852961983,0.001899188893219356,0.018849604236761876,0.03776280773100573,-0.011854653047927119,-0.010471215435917312,0.010274420753275499,0.026916468839496548,0.0014935434806088727,0.03894682269703954,-0.004159518546390217,-0.01355168777480825,-0.01667797766565253,-0.009161384806576791,0.0308925764121024,0.01650842929174295,0.014066342782496586,0.01812513789556301,-0.01815901114378156,-0.0035415077657020215,-0.015253827993524975,-0.10677222200712054,0.05225965428525397,0.027508825951347918,-0.0162165343592024,0.016276192713589693,0.0013200306744689774,0.033627840280133554,-0.003470498353384928,0.021926648652353345,-0.025152610873686882,-0.0111644766988116,0.023617547869387412,-0.0030637417198428915,-0.01792956468312081,0.011168778970405194,-0.018028405819316903,0.014706755370608431,-0.03930488001248008,0.01366705124848611,0.03218618501983005,0.012629528377207263,-0.016948430417463797,-0.001997707318705366,-0.007028804880840737,0.02362879569932218,0.0009646485515149936,-0.01726933058448811,0.025553804105288194,0.022072010515960708,-0.0007651781903962148,0.017483956436690044,-0.017630134784709654,0.006033602664967976,0.006625199974178947,-0.012433287035820589,-0.002435360251798969,-0.02074539611436401,-0.04546857680976692,0.04498982319169864,-0.04741771659818429,0.013310002544156098,-0.001071570413929431,-0.014114963395499844,-0.009782672536502493,0.0010991287041693025,-0.018888524632529005,-0.09737176547417352,-0.0001615932044252942,-0.006318996629470921,0.10114057677986871,-0.03341718865714042,-0.019949507839465343,0.05348402459119238,-0.041755312476755534,-0.009975436413437863,-0.0008323512209642053,-0.0018151746770573539,0.009615035090981085,-0.006807325145775849,0.02834805292665709,-0.07955584891028838,-0.004528944037046707,0.0015533935980011854,0.10769955241725587,0.0380698428469431,0.1124931909676616,0.008331754296844823,-0.01598368350383407,-0.0023225878377314086,0.05563010663618711,0.03086357187131457
reside,-0.33833833739785285,0.022048089229776056,-0.07338113015267204,-0.026232829560898504,-0.05160695090030756,-0.05456536816892128,0.6108469563915697,1.0,-0.016431178715726878,-0.018253477625908274,-0.018429668974352498,-0.005058189412414011,0.0013169355289074738,0.0003591714640380451,0.020329152947698426,-0.009722764406852989,-0.0696346643613884,0.019273587194528374,-0.10060449671391503,-0.06750255001537715,-0.08481435031599409,0.019284127230660066,-0.026685408492883658,0.02422868083819048,-0.006145500389152009,-0.03534490348415579,-0.08125774050549694,0.018642506164357222,-0.008785035796739983,0.02719633063881727,-0.02289859082656789,-0.006157018213310505,0.03029085755403237,0.0267488969514393,-0.009572807962678502,0.002615569825223072,0.03335841711849115,0.019481555134902,0.031147548880326562,0.06706692787781404,-0.04386920865533288,-0.0862734952458097,-0.16743796414685935,0.039197906299592904,-0.0125545022248761,-0.056890332109896156,-0.05052388253487364,0.060199164612629474,-0.021280078880648003,-0.058164449351755715,-0.11292987510943389,-0.09171422351461304,0.055159954011821145,0.020386290029599855,0.11782554898128354,0.015348032971447031,-0.07572864873660175,-0.1733745131914469,0.009760407798134448,0.007839481895512234,-0.013958237368088447,-0.02212675644378985,0.018199729510897024,-0.017405445154768603,-0.050985811104045625,0.03375574953155082,0.007037605454709919,-0.01488965258378544,0.05355342429971049,-0.013527861068170824,-0.06632537359944042,0.010605063593038781,-0.01955402353298197,-0.004544706732421854,0.010169668785960751,0.028822438313054557,-0.004019824464365259,-0.03204333265595609,0.008207192793875988,0.02316536201784848,0.012031410014741388,0.0106819390056535,0.009564270215391508,-0.002639063760802724,0.00635930220707884,-0.012835519358932521,-0.0007923258788549189,-0.011941159176498654,-0.01927722163502512,-0.0009957299678334361,-0.0016416137113529378,0.005780952442450755,-0.002068948800509002,0.002134515664545302,-0.008887188351205026,0.024473416772716087,-0.030111088593699598,0.08440705172687821,0.0672096582658726,0.006044638993663023,-0.15411020016568572,-0.0005539058320735455,-0.008134326039686982,0.028851576013459324,-0.031300052238628334,0.018450811732534156,-0.010196550727410419,-0.025052510794132333,-0.0024474978507326673,0.005464819098826231,0.02606507459906239,0.0886642888594834,0.048574140834226176,-0.009244718473012602,-0.13572299806420995,-0.1687736885951743,0.1617068562612897,0.00027992312468576747,-0.010766727327906058,-0.003228792237942631,0.03994496971607761,0.006218359473994466
pets,0.02633411858911709,0.031113374153756475,0.008424494193365172,-0.0025311807198159083,-0.009921779954303312,0.011681314288840061,-0.0014437443025908502,-0.016431178715726878,1.0,0.2499815662990137,0.21638831105739362,0.11792643918530195,0.09558455063288389,0.18020234167603333,0.1161004341050699,0.8985816551561652,0.020097193553272,0.00760601223848589,0.033578554023515894,0.025221558506626055,0.028922006030044276,0.0034620993244475987,0.019926671899768746,0.02814429006470061,0.02607862390591507,0.009325382473004611,0.018373454273357383,0.02024803137872396,0.021219408546663966,0.019436106998467637,0.0294575269718839,-0.0247936496566325,0.013979735648948532,-0.016181683428785263,0.005050045815062003,-0.0076862094413183615,-0.002876832926541393,0.0030254845503366696,0.02866361197201529,-0.016313095338170675,-0.022148959208554864,0.01631980431009612,0.03037179208854433,-0.004404983790702996,-0.01953047433781069,0.03390150632135474,-0.013200948964366655,0.0028435538667307574,0.007618948635728224,-0.012161327872708433,0.009983208549002923,-0.0191274136053389,-0.0009467076264410718,-0.004414772152240146,0.007868778187083553,-0.010152039753905773,0.0065406522242923695,0.023079615790023652,0.0015673944279845282,0.030920134273365808,-0.008005809576343077,-0.005397499340776116,-0.01275286172961805,-0.02049899350975182,-0.0013537378197225254,0.01454203059393003,0.0212633615358385,-0.009495078567820087,-0.015295744498636694,0.020811602365343167,0.011961644994808347,0.012247448401668417,-0.0003604965795596163,-0.020394921722811894,0.01063117052979075,0.007418391840049393,-0.010579177372896504,0.0036374316607090985,-0.01731894697170518,0.0053423519885861595,-0.00020683796072382225,-0.011322473978919313,0.012452836493959151,0.002600764176771628,-0.006379028475698887,-0.012510432001238523,0.010911436159482011,-0.00363529054108563,-0.012164042319655937,0.002541149965290543,-0.015027180274102315,0.008144232632317486,0.002910645110725565,-0.0148460860027009,-0.02183029835500469,0.027438344164670652,-0.010268974934182926,-0.010131412796047345,-0.007174156050255814,-0.003132397718708146,0.0338819155428537,0.002991587268097744,-0.006815832500574545,0.008087038134262411,-0.0009358364013117356,0.0436278745659873,-0.012498620161886293,-0.026125022618507847,-0.008879835144058492,-0.002494980173951845,-0.008539752294638903,-0.015725920885184128,0.020696996659725977,-0.0396317650074319,0.044704641271673284,0.023786239911139106,0.005393787989413951,-0.0018284258428931583,0.012867617470511815,0.0006581952373662366,0.017124341240081976,-0.0063254017628237525
pets_cats,0.015743082639099376,0.008897703478885136,0.0006564483865279184,0.0010278669467293062,-0.005701664710029948,0.008950418795061406,-0.0010385842852169889,-0.018253477625908274,0.2499815662990137,1.0,-0.000845864262117649,-0.007314371246747773,0.0012457345782329846,-0.0015430959369681439,-0.0016391145230165367,0.0016104002664340858,0.002945046203803824,-0.004414087654071016,0.010221745093875327,0.013935450143087304,0.01387998060206994,-0.02786021667086195,-0.015607446230737268,0.007524522081982881,0.009693531247298966,-0.011344857971119967,-0.0022508114183453095,0.001989930630379866,-0.0001983630098536731,0.0016903019961023737,-0.017024161203957312,0.0025074604661479696,-0.008455278741380922,-0.009415475278329425,0.0006338291239518066,-0.00933584556138128,-0.004693335020109379,-0.010761177112046166,0.013703422556243454,-0.014130562825024482,-0.009052318939072166,0.013517514903051097,0.010680178471226742,-0.011276696011126472,0.01402761664821704,0.011020757574114077,-0.014899753591684127,0.015868005805290613,0.01647025132979494,-0.033390679242947814,-0.0018586264130076428,-0.016906043400919068,-0.012934993413797221,0.006537566002322114,-0.014810722153585315,-0.0032710645389066213,0.03736231821296626,-0.009453204600016142,0.01589594274285824,-0.008890632803858172,-0.013354766050314337,0.01164380578292514,-0.020123372577421802,0.0048155926878172455,-0.019134480486908596,0.013074816146453725,-0.01344650548009571,0.010904323107418125,-0.03235679923397806,0.033359307713447174,0.0010000617487478931,-0.012639847882553188,0.01062116063912295,-0.011010827888192225,0.0005619370757570803,0.008154684993327877,-0.0014560908342600275,-0.007976468445642903,0.004689810869275745,0.01951895867706752,0.01048467680838792,0.01508142605200235,0.004188808303296455,-0.0040184009006454776,0.022269483621935208,-0.03339242346273345,-0.0003262176598351156,-0.004793946802267352,-0.011092624715567387,0.014209050797160911,0.0007549535644379262,-0.0037081204929954696,0.0076057222892130455,0.0028545400107866195,0.002437407251668847,-0.011591770717879715,0.003369833156122374,-0.015799351523677545,-0.0026188022879861514,-0.003051128800025729,0.019037041655335738,-0.0011143700994479147,-0.018868839393893312,0.0031603185369119503,0.013253023513891628,0.023885083264457624,0.00031797022837764453,-0.02860667412455769,-0.005853752838969721,0.0013050895372325655,-0.015868420357377525,-0.011904157391964905,0.01963651538088387,-0.005218603950616486,0.00647897356225389,0.014906578014964733,0.0027628978703052327,-0.0037446960126937563,0.0005712375722713934,-0.014434123641406267,0.012193875617938851,0.00027240194612693176
